,Timestamp,Accel,Gyr,Label,Sep
98,13:25:40.088379,[-1144   276   497  -259   270   159  -277  1268  1077],[-2211  -369    40  1909 -1323 -1474  -778  -192   -42],fists,False
99,13:25:40.097527,[-1367   161   241  -259   270   159  -484  1123  1118],[-2587  -493     1  2143 -1382  -857  -778  -192   -42],fists,False
100,13:25:40.110627,[-1504    27  -178  -259   270   159  -649  1216   981],[-3027  -462   193  2573 -1416  -674  -778  -192   -42],fists,False
101,13:25:40.120638,[-1310  -114 -1289 -1900   503  -124  -683  1296   185],[-3937  -827   316  2117 -1250  -681  -778  -192   -42],fists,False
102,13:25:40.129359,[-1415  -657 -1380 -1900   503  -124  -342  1470  -449],[-5223 -1022   354  1732 -1251   -47  -778  -192   -42],fists,False
103,13:25:40.138859,[-1026 -1304  -971 -1900   503  -124  -168  1214  -870],[-6748  -718   332  2144 -1730   341 -2099   320  -270],fists,False
104,13:25:40.146890,[ -829 -2468  -152 -1900   503  -124  -136   564 -1036],[-8358  -108   240  2090  -878   551 -2099   320  -270],fists,False
105,13:25:40.155718,[-1069 -2729  1429 -5155   837  -803  -609  -356  -798],[-9140   759   205  1997  -570   848 -2099   320  -270],fists,False
106,13:25:40.164649,[-1069 -2920  3182 -5155   837  -803  -753  -577    21],[-9614  1096   153  2088  -230   952 -2099   320  -270],fists,False
107,13:25:40.172881,[-1076 -2648  3906 -5155   837  -803  -927 -1241  1320],[-10110   1012    140   1820   -256    729  -4205    907   -801],fists,False
108,13:25:40.181452,[ -792 -2720  4189 -5155   837  -803  -861 -1715  2666],[-10715    994    178   1655    131    591  -4205    907   -801],fists,False
109,13:25:40.189415,[ -553 -2556  3400 -5155   837  -803  -685 -1911  3654],[-10170    581    130   1935   -561    233  -4205    907   -801],fists,False
110,13:25:40.198795,[ -531 -2240  2734 -8293   350 -1721  -412 -2071  3778],[-9238   626   219  2035  -208  -130 -4205   907  -801],fists,False
111,13:25:40.208808,[ -594 -1807  1979 -8293   350 -1721  -214 -2005  3763],[-8022   442   109  2138     8   222 -4205   907  -801],fists,False
112,13:25:40.215964,[ -741 -1521  1352 -8293   350 -1721  -411 -1724  3293],[-6466    24   -74  2182  -133   466 -5325   817 -1388],fists,False
